sku,img,undefined,title,brand,web,cat1,cat2,price,saleprice,isonsale,stock,size,list
05000702#100#10_TT,05000702_100,"125990,00",Nordica DOBERMANN WC EDT 130 férfi sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,179990,125990,0,"2,00",29,"[object Object],[object Object]"
05054603#775#310,05054603_775,"56990,00",Nordica CRUISE 60 férfi sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,61890,56990,0,"1,00",31,[object Object]
05077000#203#235_TT,05077000_203,"42990,00",Nordica GPX 70 gyerek sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,61990,42990,0,"1,00",23.5,[object Object]
05079001#741#230,05079001_741,"24900,00",Nordica SPEEDMACHINE J 4 gyerek sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,48390,24900,0,"2,00",23,[object Object]
050C1000#100#285_TT,050C1000_100,"104990,00",Nordica DOBERMANN 130  férfi sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,149690,104990,0,"1,00",28.5,[object Object]
050C1003#100#265_TT,050C1003_100,"174990,00",Nordica DOBERMANN GP 130 férfi sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,249990,174990,0,"1,00",26.5,[object Object]
050C1800#100#285_TT,050C1800_100,"85990,00",Nordica DOBERMANN GP 110 férfi sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,122990,85990,0,"1,00",28.5,[object Object]
050C3002#100#235_TT,050C3002_100,"56990,00",Nordica DOBERMANN GP 70 gyerek sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,81990,56990,0,"1,00",23.5,[object Object]
050F1401#T83#265_TT,050F1401_T83,"75990,00",Nordica GPX 110 férfi sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,108990,75990,0,"1,00",26.5,[object Object]
050F4200#741#255_TT,050F4200_741,"133990,00",Nordica PRO MACHINE 130 (GW) férfi sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,191990,133990,0,"1,00",25.5,"[object Object],[object Object]"
050F4500#M86#265_TT,050F4500_M86,"105990,00",Nordica PRO MACHINE 120  férfi sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,138490,105990,0,"1,00",26.5,[object Object]
050F4500#N74#265_TT,050F4500_N74,"101990,00",Nordica PRO MACHINE 120 férfi sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,151990,101990,0,"1,00",26.5,[object Object]
050F4501#N74#295_TT,050F4501_N74,"113990,00",Nordica PRO MACHINE 120 férfi sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,162990,113990,0,"1,00",29.5,[object Object]
050G2200#7T1#300_,050G2200_7T1,"122990,00",Nordica SPEEDMACHINE 3 110 (GW) férfi sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,194990,122990,0,"1,00",30,"[object Object],[object Object]"
050G2600#2T5#295_,050G2600_2T5,"117990,00",Nordica SPEEDMACHINE 3 100 (GW) férfi sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,167990,117990,0,"1,00",29.5,[object Object]
050G2700#269#230_,050G2700_269,"99900,00",Nordica SPEEDMACHINE 3 85 W (GW) női sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,158990,99900,0,"1,00",23,[object Object]
050G4600#3F1#285,050G4600_3F1,"158990,00",Nordica SPEEDMACHINE 3 110 X (GW) férfi sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,189990,158990,0,"1,00",28.5,"[object Object],[object Object]"
050H1002#M73#265,050H1002_M73,"129900,00",Nordica SPEEDMACHINE 130 CARBON férfi sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,184990,129900,0,"1,00",26.5,[object Object]
050H3403#3A9#230_,050H3403_3A9,"89900,00",Nordica SPEEDMACHINE 95 W női sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,131990,89900,0,"1,00",23,[object Object]
050H3800#543#300,050H3800_543,"73900,00",Nordica SPEEDMACHINE 100 férfi sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,94490,73900,0,"2,00",30,[object Object]
050H5801#5V3#230,050H5801_5V3,"89900,00",Nordica SPEEDMACHINE 95 R W női sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,129290,89900,0,"2,00",23,[object Object]
050P1402#5P8#275_TT,050P1402_5P8,"188990,00",Nordica STRIDER 130 PRO DYN férfi sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,271990,188990,0,"1,00",27.5,"[object Object],[object Object],[object Object],[object Object]"
050P1600#847#265_TT,050P1600_847,"121990,00",Nordica STRIDER 120 DYN férfi sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,174290,121990,0,"1,00",26.5,[object Object]
050P1602#8U3#270_TT,050P1602_8U3,"158990,00",Nordica STRIDER 120 DYN férfi sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,226990,158990,0,"1,00",27,[object Object]
050R1801#7T1#260,050R1801_7T1,"114990,00",Nordica SPORTMACHINE 120 férfi sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,138990,114990,0,"1,00",26,"[object Object],[object Object]"
050R2200#N44#315,050R2200_N44,"102990,00",Nordica SPORTMACHINE 110 férfi sícipő,Nordica,www.nordica.com,Sícipő,Felszerelés,115990,102990,0,"1,00",31.5,[object Object]
